Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 13E	11433	SVALÖV	555444N	0130327E	335	558	FLG R	Wind turbine				
55N 13E	11434	SVALÖV	555443N	0130313E	335	545	FLG R	Wind turbine				
55N 13E	11550	LINDERÖD	555535N	0134453E	328	853	F R	Mast				
55N 13E	11718	TOMELILLA	553351N	0135849E	390	659	FLG R	Wind turbine				
55N 13E	11739	ENBW WINDPARK BALTIC 2 M2	550005N	0131154E	456	456	FR/FLGR	Wind turbine				
55N 13E	11742	ENBW WINDPARK BALTIC 2 N2	550009N	0131233E	456	456	FR/FLGR	Wind turbine				
55N 13E	11744	ENBW WINDPARK BALTIC 2 N1	550029N	0131223E	456	456	FR/FLGR	Wind turbine				
55N 13E	12034	ENBW WINDPARK BALTIC 2 I1	550019N	0130906E	456	456	FR/FLGR	Wind turbine				
55N 13E	12044	ENBW WINDPARK BALTIC 2 M1	550028N	0131143E	456	456	FR/FLGR	Wind turbine				
55N 13E	12050	ENBW WINDPARK BALTIC 2 O1	550030N	0131303E	456	456	FR/FLGR	Wind turbine				
55N 13E	12051	ENBW WINDPARK BALTIC 2 O2	550012N	0131311E	456	456	FR/FLGR	Wind turbine				
55N 13E	12054	ENBW WINDPARK BALTIC 2 P2	550008N	0131354E	456	456	FR/FLGR	Wind turbine				
55N 13E	12056	ENBW WINDPARK BALTIC 2 P1	550031N	0131333E	456	456	FR/FLGR	Wind turbine				
55N 13E	12057	ENBW WINDPARK BALTIC 2 J1	550026N	0130943E	456	456	FR/FLGR	Wind turbine				
55N 13E	12058	ENBW WINDPARK BALTIC 2 J2	550006N	0130952E	456	456	FR/FLGR	Wind turbine				
55N 13E	12063	ENBW WINDPARK BALTIC 2 K1	550027N	0131022E	456	456	FR/FLGR	Wind turbine				
55N 13E	12064	ENBW WINDPARK BALTIC 2 K2	550006N	0131032E	456	456	FR/FLGR	Wind turbine				
55N 13E	12070	ENBW WINDPARK BALTIC 2 L1	550028N	0131103E	456	456	FR/FLGR	Wind turbine				
55N 13E	12071	ENBW WINDPARK BALTIC 2 L2	550006N	0131113E	456	456	FR/FLGR	Wind turbine				
55N 13E	12114	BILLEBERGA	555339N	0130141E	433	636	FLG R	Wind turbine				
55N 13E	12115	TIRUP	555341N	0130204E	433	646	FLG R	Wind turbine				
55N 13E	12236	TOLLARP	555317N	0135557E	328	912	F R	Mast				
55N 13E	12391	Ö SÖNNARSLÖV	555205N	0135729E	492	1102	FLG R	Wind turbine				
55N 13E	12392	Ö SÖNNARSLÖV	555226N	0135741E	492	1037	F R	Wind turbine				
55N 13E	12393	Ö SÖNNARSLÖV	555220N	0135810E	492	1056	FLG R	Wind turbine				
55N 13E	12394	Ö SÖNNARSLÖV	555234N	0135838E	492	1027	FLG R	Wind turbine				
55N 13E	12395	Ö SÖNNARSLÖV	555255N	0135814E	492	978	FLG R	Wind turbine				
55N 13E	12396	Ö SÖNNARSLÖV	555238N	0135812E	492	1014	F R	Wind turbine				
55N 13E	12397	Ö SÖNNARSLÖV	555246N	0135737E	492	1030	F R	Wind turbine				
55N 13E	12398	Ö SÖNNARSLÖV	555221N	0135706E	492	1093	FLG R	Wind turbine				
55N 13E	12399	Ö SÖNNARSLÖV	555226N	0135636E	492	1066	FLG R	Wind turbine				
55N 13E	12400	Ö SÖNNARSLÖV	555233N	0135605E	492	1096	FLG R	Wind turbine				
